PREFIXO: ;4D-007
NOME DO POSTO: ;ARTEMIS
MUNICÍPIO: ;PIRACICABA
CURSO D'ÁGUA: ;PIRACICABA,R
ÁREA (Km²): ;10.918,00
LATITUDE: ;22°42'07"
LONGITUDE: ;47°45'06"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  06/1943;74,618;73,764;75,474;73,764;74,191;72,487;71,637;84,999;96,509;97,405;92,940;90,279;88,953;84,125;87,192;81,078;78,051;78,051;75,902;72,912;71,637;74,191;74,191;75,474;69,522;71,213;70,790;69,100;70,790;69,522;---;69,100;78,025;97,405
  07/1943;69,944;69,100;69,944;68,258;60,765;64,908;64,076;62,416;63,245;63,245;62,831;61,177;61,177;60,765;68,258;61,590;61,177;58,303;56,266;60,353;56,672;58,303;58,303;57,487;55,049;51,430;54,241;58,712;59,122;55,454;56,266;51,430;60,930;69,944
  08/1943;51,830;50,234;52,632;53,838;55,049;55,049;53,838;52,632;49,439;47,462;51,430;52,632;54,241;51,830;50,234;50,234;51,830;50,234;50,234;50,632;50,632;48,647;48,647;49,439;49,439;51,830;59,532;64,908;65,743;56,672;57,487;47,462;52,855;65,743
  09/1943;55,454;54,241;55,049;55,049;52,632;42,779;45,110;43,553;44,720;45,500;49,836;51,830;52,632;55,860;62,831;62,416;57,895;59,942;55,860;49,439;47,462;50,234;55,454;59,942;66,161;69,944;69,100;59,122;63,660;61,590;---;42,779;55,177;69,944
  10/1943;62,003;57,079;53,838;51,031;77,621;101,456;97,854;80,211;69,522;72,487;67,418;85,875;85,875;85,437;86,314;122,604;118,410;100,102;91,607;79,346;72,912;70,790;78,482;82,816;77,621;75,474;74,191;152,660;198,003;187,858;173,323;51,031;93,233;198,003
  11/1943;141,550;129,179;128,707;141,550;142,991;131,542;131,542;128,707;130,123;128,707;114,243;104,627;95,168;82,816;78,914;69,522;69,100;122,137;159,005;151,202;127,765;86,314;75,474;95,614;105,991;85,437;77,621;64,076;57,895;62,003;---;57,895;107,317;159,005
  12/1943;88,072;103,266;108,729;103,266;92,495;76,761;75,046;71,637;69,100;65,743;63,245;62,416;58,303;59,942;63,245;72,487;169,846;132,964;95,168;76,761;70,790;69,100;70,790;85,437;175,814;245,843;293,242;238,444;316,377;275,833;225,858;58,303;121,807;316,377
  01/1944;230,563;201,065;187,353;168,856;171,831;210,816;215,464;215,464;153,633;151,202;134,388;134,863;131,069;125,884;118,410;115,167;115,167;123,539;116,092;105,081;92,051;83,252;78,482;87,192;93,384;116,092;119,805;123,539;109,187;96,957;96,957;78,482;136,220;230,563
  02/1944;96,061;91,607;85,875;86,314;84,125;82,381;80,211;77,621;82,816;81,946;78,914;78,051;75,474;72,487;72,062;75,474;92,940;143,952;170,838;195,966;188,363;206,187;201,065;195,966;291,055;349,395;283,426;250,089;224,814;---;---;72,062;141,223;349,395
  03/1944;241,610;243,725;329,178;377,254;363,561;344,320;313,053;291,055;269,354;260,224;233,710;214,430;242,667;352,220;284,513;235,286;256,482;291,055;300,369;291,055;247,433;230,040;211,332;195,966;176,812;162,932;148,778;143,471;139,634;135,815;134,863;134,863;247,168;377,254
