PREFIXO: ;D4-104
NOME DO POSTO: ;PIRACICABA
MUNICÍPIO: ;PIRACICABA
CURSO D'ÁGUA: ;PIRACICABA,R
LATITUDE: ;22°43'03"
LONGITUDE: ;47°39'07"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1973;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,3;  0,2;0,3;0,0;0,0;1,3;1,8
  09/1973;  0,0; 33,1; 11,9;  0,0;  0,0;  0,0;  4,2;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  1,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,9;  0,0;  0,0;  0,0;  0,0;  0,7;  0,0;0,0;0,0;---;33,1;53,5
  10/1973;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0;  0,0; 10,8;  0,0; 10,8;  5,9;  0,0;  0,0;  0,0;  0,0;  0,0; 25,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;0,0;0,0;43,9;43,9;115,0
  11/1973; 61,1;  4,0;  4,3;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0; 10,3;  7,9;  0,0;  0,0;  0,0; 47,8;  1,3;  0,0;  0,0;  0,0;  0,0;  0,0;  7,2;  0,2;  0,0;  0,0;0,0;0,0;---;61,1;144,6
  12/1973;  0,0;  0,0;  0,0; 48,0;  1,5; 29,6;  5,8; 12,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,0;  5,9;  9,3; 15,7; 70,9;  4,4;  0,0;  6,3;  0,0; 10,0;  0,0;  0,0;62,5;41,7;43,0;70,9;373,8
  01/1974;  7,9;  0,0;  0,0;  0,0;  1,8; 10,9;  6,1; 30,9; 10,0;  0,0;  4,2;  3,9;  0,0; 35,1;  5,9;  0,0;  9,0;  6,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 46,5;  0,0;  4,2; 10,5;0,1;1,3;12,2;46,5;206,5
  02/1974; 43,5; 26,7; 14,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,7;  0,0; 36,7;  0,0;  0,0;  0,0; 18,3;  0,0;  7,7;  0,0;  0,0;  0,0;  0,0;---;---;---;43,5;156,3
  03/1974;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  0,0;  0,1; 17,0;  0,0;  3,3; 53,7;  0,0;110,5;  5,5;  0,0;  5,0; 63,1; 17,7; 21,8;  0,1;  3,7;  0,0;  0,0; 14,0;  4,0;  0,0;  0,0;0,0;0,0;0,0;110,5;323,5
  04/1974;  0,0;  2,7;  0,0;  1,9;  5,8;  0,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,8;  0,1;  0,0;  0,0;0,0;0,0;---;5,8;12,2
  05/1974;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  4,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;4,6;6,4
  06/1974;  0,0;  0,0;  1,8;  0,0;  0,0;  0,0;  4,6;  2,1;  0,0;  5,5; 56,5;  6,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;  0,0; 14,4; 16,7; 10,9;  0,0;  0,0;0,0;0,0;---;56,5;128,1
  07/1974;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;0,0;0,0
  08/1974;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;4,0;4,0
  09/1974;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;22,0;0,4;---;22,0;22,9
  10/1974;  0,0;  2,1;  3,5; 24,4;  0,0;  0,0;  0,0;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 14,2;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  2,7;  6,5;  0,0;  0,7; 32,2;18,3;0,0;0,0;32,2;105,7
  11/1974;  0,0;  0,0;  0,0;  0,0;  0,0;  1,6;  3,3;  0,0;  0,0;  0,0;  0,0;  0,0; 11,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 38,6; 13,2;  7,4;  0,0;  0,0;  0,0;  0,0;  0,0; 61,9;0,0;16,0;---;61,9;153,1
  12/1974; 19,0;  8,5; 22,1; 14,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,0;  0,0;  7,7;  6,3;  2,2;  0,0;  1,9;  8,5; 14,0;  0,0;  3,7; 24,9;  8,2;  5,7;  0,4;  0,0;  0,0;  0,0;0,0;29,6;5,9;30,0;213,4
  01/1975;  9,3;  9,4;  0,0;  0,0;  0,0;  0,0;  1,6;  0,0;  0,0;  6,3; 51,0;  0,2;  2,0;  8,4;  1,8; 16,7; 26,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;0,0;2,4;0,0;51,0;136,2
